symbol,industry,period,year,quarter,net_revenue,gross_profit,operating_profit,ebit,net_profit,gross_profit_margin,operating_profit_margin,pretax_profit_margin,net_profit_margin
DGW,,Q4 2017,2017,4,1124114717567.0,89579304165.0,21679499850.0,25777423198.0,22400211676.0,7.968875664121073,1.9285842904825994,2.293131011912368,1.9926980161315155
DGW,,Q1 2018,2018,1,1264516678328.0,72267309179.0,23104573579.0,23965676097.0,19054556741.0,5.715014314762146,1.8271466066821587,1.895243970106308,1.5068648019885968
DGW,,Q2 2018,2018,2,1372618633554.0,81720353681.0,29261416090.0,29066390766.0,23047331669.0,5.95360952294584,2.1317950503291656,2.1175867830630395,1.6790775751984062
DGW,,Q3 2018,2018,3,1742150729614.0,103348213389.0,44427784947.0,45836386965.0,36628490394.0,5.932219964221946,2.5501688339472013,2.631023032958563,2.1024868727699353
DGW,,Q4 2018,2018,4,1560720282337.0,111867455838.0,41708491793.0,41957365883.0,32303006229.0,7.167681301001054,2.6723873755613856,2.688333480242446,2.069749883728681
DGW,,Q1 2019,2019,1,1371794378551.0,80721212576.0,29196647919.0,31120398428.0,25027886407.0,5.884352191416928,2.1283545388077663,2.268590607644265,1.8244634034319689
DGW,,Q2 2019,2019,2,2002154246761.0,121113562588.0,45392746121.0,45021979034.0,33460073426.0,6.049162435108702,2.267195257030494,2.2486768492904403,1.6712035788516437
DGW,,Q3 2019,2019,3,2614547701509.0,179142405834.0,68567176917.0,67342982108.0,51981421085.0,6.851755113536733,2.622525375131848,2.5757029435390546,1.9881611284046814
DGW,,Q4 2019,2019,4,2499806499592.0,166203992296.0,68001541632.0,66957440057.0,50112476421.0,6.648674300315909,2.7202722147933733,2.6785049189978625,2.0046542174035866
DGW,,Q1 2020,2020,1,2310715146381.0,143263968037.0,53878844545.0,53760473817.0,44958325184.0,6.199983942693128,2.3316956496946006,2.3265729616737345,1.9456454965646852
DGW,,Q2 2020,2020,2,2581976203261.0,165543355314.0,63581856132.0,63556201540.0,48445215426.0,6.411498103852431,2.4625268060835337,2.4615332031228405,1.876284350135155
DGW,,Q3 2020,2020,3,3624274283608.0,231305383620.0,98938221415.0,100998440996.0,75073702709.0,6.382115853266305,2.72987676077612,2.786721784628703,2.0714133874620386
DGW,,Q4 2020,2020,4,4017177081382.0,254527129822.0,113499104136.0,113453581118.0,84884618903.0,6.335969877992953,2.8253448089710234,2.824211599827444,2.113041501117938
DGW,,Q1 2021,2021,1,5006797483026.0,319028589981.0,135398080759.0,135045506837.0,106712927138.0,6.371909210679439,2.7042851487008486,2.697243243706782,2.1313609647639478
DGW,,Q2 2021,2021,2,4217540634983.0,305121666638.0,147012075794.0,146725539796.0,116447079766.0,7.234587477524798,3.485729919815997,3.4789360078469382,2.761018561388902
DGW,,Q3 2021,2021,3,3825124117208.0,273971126500.0,134400903948.0,134177589615.0,107215325740.0,7.162411417383614,3.5136351090772107,3.5077970153014983,2.802924100101035
DGW,,Q4 2021,2021,4,7921553518475.0,612924502182.0,407633055973.0,406942340355.0,327014414117.0,7.737428027880014,5.145872650134851,5.137153203672877,4.128160131145013
DGW,,Q1 2022,2022,1,7008700192373.0,466452646833.0,266002912937.0,265166333273.0,210838204771.0,6.6553374239149585,3.7953244629648935,3.7833881603547406,3.008235464265373
DGW,,Q2 2022,2022,2,4910163932950.0,320228149084.0,174634947495.0,172807560507.0,136884722261.0,6.521740484774583,3.5566011619917597,3.519384746960539,2.7877831398342012
DGW,,Q3 2022,2022,3,6065220871939.0,405956150214.0,227383100646.0,226853718781.0,180305973303.0,6.693179997651416,3.7489665330737996,3.740238378301247,2.9727849506222137
DGW,,Q4 2022,2022,4,4075122688973.0,469822804158.0,200036544906.0,197540063649.0,155754386747.0,11.529046853713337,4.908724477112923,4.847462977827139,3.822078465722286
DGW,,Q1 2023,2023,1,3959927213172.0,260733609931.0,105046464597.0,106597419715.0,79389136337.0,6.584303091827436,2.6527372585935782,2.691903511772198,2.0048130196162703
CTF,,Q1 2016,2016,1,738904774372.0,40216824714.0,1657277296.0,5415096588.0,4458053660.0,5.442761517975106,0.22428834587089128,0.7328544591692923,0.6033326369813931
CTF,,Q1 2017,2017,1,798222974455.0,32877554344.0,-10727564663.0,1635015845.0,2476531873.0,4.118843405434139,-1.343930832149303,0.20483197017930163,0.31025564939306505
CTF,,Q2 2017,2017,2,907175311311.0,42127670875.0,-7987079513.0,1253252821.0,2427805213.0,4.643829075784636,-0.8804339595019965,0.13814891183368602,0.2676224961955225
CTF,,Q3 2017,2017,3,884713718184.0,35085743104.0,-11191102631.0,505045308.0,474885132.0,3.9657736036939104,-1.2649405565871998,0.05708573266351932,0.05367670041047502
CTF,,Q4 2017,2017,4,843817540412.0,38069934529.0,-7046997333.0,18247022720.0,16163060516.0,4.511631093898815,-0.8351328332851735,2.1624370016165773,1.9154686578461346
CTF,,Q1 2018,2018,1,751331967983.0,45585397971.0,-2747589324.0,3052572185.0,2618698505.0,6.067277836370652,-0.36569578310052264,0.4062880743907158,0.34854080707228097
CTF,,Q2 2018,2018,2,594768929006.0,41181247954.0,-7556874085.0,5390517149.0,4778804431.0,6.9239070747733305,-1.2705562978263392,0.9063212427738674,0.8034724407992389
CTF,,Q3 2018,2018,3,776694751676.0,47977487737.0,1063667233.0,14749212619.0,12324230902.0,6.177135564965671,0.1369479104506311,1.8989715827451177,1.5867534672284074
CTF,,Q4 2018,2018,4,1276598600946.0,107690176105.0,44504314129.0,47414926853.0,38134461643.0,8.435711587432273,3.4861634734693343,3.7141609600593357,2.9871928118001345
